iter	Logloss
0	0.6825644935
1	0.6738273588
2	0.6665040164
3	0.6598577809
4	0.6544047491
5	0.6498654351
6	0.6456699011
7	0.6422753483
8	0.6393768593
9	0.6366602444
10	0.634612134
11	0.6328854741
12	0.631370972
13	0.6298340194
14	0.6285114544
15	0.6274229773
16	0.6265592131
17	0.6256070624
18	0.624935229
19	0.6244466824
20	0.6239053712
21	0.6233556872
22	0.6229062731
23	0.6225434309
24	0.6221524636
25	0.6218495963
26	0.621509843
27	0.6212293037
28	0.6209916282
29	0.6207317219
30	0.6204858638
31	0.6203141708
32	0.620155406
33	0.6199966641
34	0.619849482
35	0.6196452018
36	0.619480359
37	0.6193047841
38	0.6191373624
39	0.6189733168
40	0.6188222367
41	0.6187011141
42	0.6185708029
43	0.618464688
44	0.6183610162
45	0.6182571455
46	0.6181760686
47	0.6180690772
48	0.6179664129
49	0.6178805839
50	0.6178000914
51	0.6177320197
52	0.6176973143
53	0.6176488696
54	0.6175824666
55	0.6175210752
56	0.6174777672
57	0.6174373356
58	0.6173658998
59	0.6173238474
60	0.6173136648
61	0.6172521498
62	0.617176902
63	0.6171673697
64	0.617137188
65	0.6170963215
66	0.6170425387
67	0.617014141
68	0.6169488548
69	0.6169147469
70	0.6168868322
71	0.6168431918
72	0.6168096149
73	0.6167360004
74	0.6167124357
75	0.6166951745
76	0.6166721919
77	0.6166362549
78	0.6166222132
79	0.6166066544
80	0.6165627469
81	0.6165185833
82	0.6164966403
83	0.6164680721
84	0.6164358975
85	0.6164207885
86	0.6163927746
87	0.6163647066
88	0.6163574911
89	0.6163305449
90	0.6163081809
91	0.6162829309
92	0.6162629869
93	0.6162380798
94	0.6162319959
95	0.6162240055
96	0.6162148579
97	0.616201233
98	0.6161970406
99	0.6161709838
100	0.6161462416
101	0.6161119297
102	0.6160827214
103	0.6160689356
104	0.6160668785
105	0.6160501028
106	0.6160355217
107	0.616030436
108	0.6159910766
109	0.615965882
110	0.6159489975
111	0.6159167101
112	0.6158920853
113	0.6158785719
114	0.6158682377
115	0.6158660265
116	0.6158403383
117	0.6158162787
118	0.6158141166
119	0.6158005139
120	0.6157877967
121	0.6157785035
122	0.6157502003
123	0.6157398806
124	0.6157273921
125	0.6157132942
126	0.615677017
127	0.6156684932
128	0.615654763
129	0.6156398171
130	0.6156230017
131	0.6156223815
132	0.6156140143
133	0.615601971
134	0.6155926013
135	0.6155800884
136	0.6155703485
137	0.6155692117
138	0.6155625217
139	0.6155460583
140	0.6155337927
141	0.615531981
142	0.6155160052
143	0.6155100316
144	0.61549915
145	0.6154900813
146	0.6154721069
147	0.6154547318
148	0.6154435968
149	0.6154380715
150	0.6154239239
151	0.6154148606
152	0.6154028637
153	0.6154011047
154	0.6153882215
155	0.6153877347
156	0.615382175
157	0.6153760042
158	0.6153720977
159	0.6153692117
160	0.6153630177
161	0.6153629563
162	0.6153629563
163	0.6153439222
164	0.6153353656
165	0.6153298618
166	0.615321858
167	0.6153151254
168	0.6153036973
169	0.6152942321
170	0.6152827493
171	0.615264652
172	0.6152592023
173	0.6152472724
174	0.6152241469
175	0.6152222808
176	0.6152133407
177	0.6152011708
178	0.6151892191
179	0.6151839723
180	0.6151614466
181	0.6151571054
182	0.6151482054
183	0.6151304872
184	0.61511687
185	0.6151100967
186	0.6151055296
187	0.6150970252
188	0.6150900133
189	0.6150700351
190	0.6150628751
191	0.61505903
192	0.6150530523
193	0.6150356587
194	0.6150165485
195	0.6149969398
196	0.6149814781
197	0.6149649331
198	0.6149546877
199	0.6149405048
200	0.6149177709
201	0.6149110842
202	0.6148969531
203	0.614884861
204	0.6148808934
205	0.6148713507
206	0.6148546133
207	0.614834852
208	0.6148310292
209	0.6148259504
210	0.6148127427
211	0.6148033997
212	0.6147963267
213	0.6147878554
214	0.6147752527
215	0.6147639984
216	0.6147589537
217	0.6147538989
218	0.6147368959
219	0.6147289939
220	0.6147103875
221	0.6147004042
222	0.6146973319
223	0.6146782502
224	0.6146718129
225	0.6146652595
226	0.6146546442
227	0.6146380031
228	0.6146317818
229	0.6146285911
230	0.6146190536
231	0.6146163325
232	0.6146089714
233	0.6145915461
234	0.6145822974
235	0.6145704346
236	0.6145573809
237	0.6145437613
238	0.6145371358
239	0.6145329114
240	0.614529337
241	0.6145219175
242	0.6145163885
243	0.6145107676
244	0.6145031434
245	0.6144935439
246	0.6144899858
247	0.6144865554
248	0.6144772216
249	0.6144703399
250	0.614464204
251	0.6144508116
252	0.614445792
253	0.6144408791
254	0.6144299505
255	0.6144289838
256	0.6144130904
257	0.6144096995
258	0.6144044227
259	0.6143975111
260	0.614392066
261	0.6143863727
262	0.6143831848
263	0.6143732553
264	0.6143672671
265	0.6143552926
266	0.6143525703
267	0.6143501493
268	0.6143446733
269	0.6143381472
270	0.6143288297
271	0.6143193273
272	0.6143169724
273	0.6143157064
274	0.6143068517
275	0.6142979066
276	0.6142867197
277	0.6142836409
278	0.6142750975
279	0.614264615
280	0.6142508089
281	0.6142478825
282	0.614239702
283	0.6142385428
284	0.6142289085
285	0.6142254327
286	0.6142183407
287	0.6142114054
288	0.6142094416
289	0.6142084086
290	0.6142000823
291	0.6141867548
292	0.6141776201
293	0.6141703053
294	0.6141648396
295	0.6141579035
296	0.6141500223
297	0.6141470735
298	0.6141439232
299	0.614139435
300	0.6141346683
301	0.6141270101
302	0.6141167303
303	0.614109556
304	0.6141068002
305	0.6140974912
306	0.6140954326
307	0.6140881617
308	0.6140850024
309	0.6140776518
310	0.6140725202
311	0.6140672634
312	0.6140611931
313	0.6140518947
314	0.6140421693
315	0.6140410323
316	0.6140370057
317	0.6140353056
318	0.6140278571
319	0.6140247313
320	0.6140080729
321	0.6140047588
322	0.6140007468
323	0.6139919671
324	0.6139874564
325	0.6139839601
326	0.6139829541
327	0.6139801507
328	0.6139750755
329	0.6139694379
330	0.6139653931
331	0.6139601998
332	0.6139539691
333	0.6139474995
334	0.6139427097
335	0.6139418652
336	0.6139396838
337	0.6139373836
338	0.6139294066
339	0.613919293
340	0.6139035517
341	0.6138988661
342	0.6138950644
343	0.6138832984
344	0.6138751049
345	0.6138722547
346	0.6138683158
347	0.61386152
348	0.6138567314
349	0.6138498826
350	0.613843958
351	0.6138356192
352	0.6138340357
353	0.6138249285
354	0.6138219402
355	0.6138206324
356	0.6138160991
357	0.6138145022
358	0.6138133412
359	0.6138092784
360	0.6138078879
361	0.6138008421
362	0.6137884398
363	0.613786916
364	0.6137838195
365	0.6137778801
366	0.6137693341
367	0.6137655455
368	0.6137558218
369	0.6137502718
370	0.613746512
371	0.6137433114
372	0.6137356087
373	0.6137308442
374	0.613724637
375	0.6137218859
376	0.6137150474
377	0.6137090989
378	0.6137040477
379	0.6137015888
380	0.6136946006
381	0.6136903923
382	0.6136850279
383	0.6136792406
384	0.6136748006
385	0.6136726584
386	0.6136691418
387	0.6136662798
388	0.6136647199
389	0.6136605222
390	0.6136527239
391	0.6136495708
392	0.6136441415
393	0.6136381551
394	0.6136347357
395	0.6136227406
396	0.613615409
397	0.613610492
398	0.6136053904
399	0.6136039321
400	0.6135992302
401	0.6135978802
402	0.6135887738
403	0.6135787628
404	0.6135740582
405	0.6135656634
406	0.6135576371
407	0.6135548248
408	0.6135480936
409	0.6135446172
410	0.613543222
411	0.6135403844
412	0.6135344636
413	0.613529295
414	0.6135270352
415	0.6135217563
416	0.6135185826
417	0.6135085505
418	0.6135053059
419	0.6135043853
420	0.613500285
421	0.6134976771
422	0.6134948677
423	0.6134914692
424	0.6134849575
425	0.6134829449
426	0.6134797225
427	0.6134736205
428	0.613468088
429	0.6134562774
430	0.6134510312
431	0.6134418745
432	0.6134364851
433	0.6134335102
434	0.6134289064
435	0.6134242763
436	0.6134227294
437	0.6134078257
438	0.6134025932
439	0.6133999377
440	0.6133965851
441	0.613390795
442	0.6133832971
443	0.6133786458
444	0.613375293
445	0.6133713459
446	0.613365791
447	0.6133642402
448	0.6133621882
449	0.6133609659
450	0.6133575759
451	0.6133517491
452	0.6133464467
453	0.6133436472
454	0.6133376196
455	0.6133298629
456	0.6133278249
457	0.6133271318
458	0.6133237398
459	0.6133185555
460	0.6133161767
461	0.6133116834
462	0.613309448
463	0.6133085797
464	0.613302655
465	0.6132978344
466	0.6132913639
467	0.6132907271
468	0.6132839843
469	0.6132804191
470	0.6132746073
471	0.6132697802
472	0.6132634793
473	0.6132564899
474	0.6132537257
475	0.6132526641
476	0.6132506483
477	0.6132489512
478	0.6132406881
479	0.6132393303
480	0.6132319617
481	0.6132258227
482	0.6132231185
483	0.6132201696
484	0.6132169704
485	0.613215293
486	0.6132047932
487	0.6131969901
488	0.6131916668
489	0.6131865536
490	0.6131820887
491	0.6131776319
492	0.6131736128
493	0.6131695705
494	0.6131653689
495	0.6131624703
496	0.6131541848
497	0.6131510075
498	0.6131487915
499	0.6131465197
500	0.6131447571
501	0.6131398156
502	0.6131316295
503	0.6131262844
504	0.6131240384
505	0.613119817
506	0.6131167277
507	0.6131098057
508	0.6131017687
509	0.6130949798
510	0.6130863274
511	0.6130842372
512	0.6130833258
513	0.6130762528
514	0.6130734151
515	0.6130637511
516	0.6130614052
517	0.6130609733
518	0.6130541423
519	0.6130511168
520	0.6130479376
521	0.6130445331
522	0.6130401933
523	0.6130358958
524	0.6130349288
525	0.6130286296
526	0.6130237979
527	0.6130185283
528	0.6130147666
529	0.6130131328
530	0.6130119305
531	0.6130058976
532	0.6129962399
533	0.6129887703
534	0.6129825608
535	0.6129786991
536	0.6129751729
537	0.6129690229
538	0.6129636285
539	0.6129592143
540	0.6129561998
541	0.6129514852
542	0.6129450577
543	0.6129372837
544	0.6129283591
545	0.612925101
546	0.612919229
547	0.6129148236
548	0.6129129883
549	0.6129081437
