iter	Passed	Remaining
0	1825	1093353
1	2933	877010
2	4732	941786
3	5578	831175
4	6063	721610
5	6354	629143
6	6647	563127
7	7241	535859
8	7609	499699
9	8028	473697
10	8448	452389
11	9107	446284
12	9519	429842
13	9994	418344
14	10413	406109
15	10752	392468
16	11203	384206
17	11637	376286
18	12034	368017
19	12449	361023
20	12872	354926
21	13270	348649
22	13755	345083
23	14261	342264
24	14769	339709
25	15240	336459
26	15664	332430
27	16043	327744
28	16506	325005
29	16896	321035
30	17406	319485
31	17858	316989
32	18308	314577
33	18892	314504
34	19436	313765
35	20042	313995
36	20582	313181
37	21205	313611
38	21753	312918
39	22366	313133
40	22801	310879
41	23434	311349
42	24013	311056
43	24488	309450
44	24974	308013
45	25460	306629
46	26011	306050
47	26518	304961
48	27014	303771
49	27652	304174
50	28189	303452
51	28838	303913
52	29308	302481
53	29862	301947
54	30447	301707
55	31033	301464
56	31566	300714
57	32121	300172
58	32638	299277
59	33119	298076
60	33388	295025
61	33976	294830
62	34539	294409
63	34929	292532
64	35295	290507
65	35735	289132
66	36306	288823
67	36944	289038
68	37517	288723
69	38066	288221
70	38560	287305
71	39008	286059
72	39625	286062
73	40148	285376
74	40790	285530
75	41291	284692
76	41745	283542
77	42280	282952
78	42789	282190
79	43053	279849
80	43660	279752
81	44169	279022
82	44742	278696
83	45174	277501
84	45719	277005
85	46256	276464
86	46744	275632
87	47281	275089
88	47921	275142
89	48565	275206
90	49042	274312
91	49571	273723
92	50022	272702
93	50620	272487
94	51202	272181
95	51734	271604
96	52154	270453
97	52726	270089
98	52921	267813
99	53460	267301
100	54014	266861
101	54500	266091
102	55010	265439
103	55624	265286
104	55789	263008
105	56348	262603
106	56939	262349
107	57514	262008
108	58067	261568
109	58623	261141
110	59165	260646
111	59682	260044
112	60065	258866
113	60528	258041
114	60920	256927
115	61236	255504
116	61775	255020
117	62249	254273
118	62810	253880
119	63332	253330
120	63850	252763
121	64445	252499
122	64927	251792
123	65304	250686
124	65848	250222
125	66326	249514
126	66776	248702
127	67320	248243
128	67817	247614
129	68206	246592
130	68583	245539
131	69075	244905
132	69689	244699
133	70143	243931
134	70676	243442
135	71086	242530
136	71668	242207
137	71940	240845
138	72543	240594
139	73034	239969
140	73444	239084
141	73672	237618
142	74225	237210
143	74630	236331
144	75230	236067
145	75753	235562
146	76373	235354
147	76973	235082
148	77446	234418
149	77934	233803
150	78402	233131
151	79113	233176
152	79658	232727
153	80086	231939
154	80595	231387
155	80764	229868
156	81297	229394
157	81740	228666
158	82119	227765
159	82673	227353
160	83152	226731
161	83328	225294
162	83447	223722
163	83953	223194
164	84545	222893
165	85054	222371
166	85642	222055
167	86197	221651
168	86706	221127
169	87286	220783
170	87867	220439
171	88339	219820
172	88857	219319
173	89502	219126
174	90080	218766
175	90561	218171
176	91324	218249
177	91855	217769
178	92321	217136
179	92818	216576
180	93254	215876
181	93713	215231
182	94294	214867
183	94790	214309
184	95370	213938
185	95924	213509
186	96530	213192
187	97083	212758
188	97649	212348
189	98153	211805
190	98629	211201
191	99183	210764
192	99741	210335
193	100325	209959
194	100893	209548
195	101346	208898
196	101942	208542
197	102479	208063
198	103066	207687
199	103610	207220
200	104019	206486
201	104461	205820
202	104916	205180
203	105491	204776
204	105986	204218
205	106562	203813
206	107038	203217
207	107599	202783
208	108241	202499
209	108794	202047
210	109346	201592
211	109950	201230
212	110515	200795
213	110939	200105
214	111399	199483
215	111963	199045
216	112584	198709
217	113108	198199
218	113619	197667
219	114104	197090
220	114650	196617
221	115229	196202
222	115736	195662
223	116143	194955
224	116643	194406
225	117205	193959
226	117460	193007
227	117806	192210
228	118375	191778
229	118822	191148
230	119341	190635
231	119856	190117
232	120522	189835
233	121024	189294
234	121544	188781
235	121975	188131
236	122451	187553
237	122902	186935
238	123422	186424
239	124010	186015
240	124542	185521
241	125099	185063
242	125765	184766
243	126328	184314
244	126890	183862
245	127470	183432
246	128087	183055
247	128636	182581
248	129126	182021
249	129561	181385
250	130043	180817
251	130575	180318
252	131055	179748
253	131595	179259
254	132088	178707
255	132599	178180
256	133157	177716
257	133626	177133
258	134035	176471
259	134501	175886
260	134996	175340
261	135471	174768
262	136100	174395
263	136662	173934
264	137159	173389
265	137632	172816
266	138034	172154
267	138494	171567
268	139050	171098
269	139517	170521
270	139983	169942
271	140467	169387
272	141098	169008
273	142375	169395
274	143643	169760
275	145162	170407
276	146404	170716
277	147503	170849
278	148736	171126
279	149934	171353
280	150646	171018
281	151046	170328
282	151524	169728
283	152004	169132
284	152489	168541
285	153051	168035
286	153599	167514
287	153989	166822
288	154559	166325
289	155165	165866
290	155697	165327
291	156313	164878
292	156753	164243
293	157109	163522
294	157510	162850
295	158061	162333
296	158507	161709
297	158991	161125
298	159577	160644
299	160203	160203
300	160616	159548
301	161194	159059
302	161732	158529
303	162269	157998
304	162773	157436
305	163119	156723
306	163654	156191
307	164155	155628
308	164687	155093
309	165280	154617
310	165735	154011
311	166215	153430
312	166680	152834
313	167179	152272
314	167679	151709
315	168332	151285
316	168881	150767
317	169440	150258
318	170043	149787
319	170683	149347
320	171246	148840
321	171874	148388
322	172463	147901
323	173033	147398
